可是當時我的中文還不太好的 可是當時我的中文還是不太好的
可是很好吃的 可是也很好吃的
大部分的韓國菜都很辣 大部分的韓國菜很辣
泰國菜有酸 泰國菜是有酸
可是我那時候覺得中國菜沒有那麼好吃 可是我那時候覺得中國菜沒有那麼好吃的
受到很大的衝擊 受到很大的衝擊了
我覺得北京烤鴨吃起來感覺軟軟的 我覺得北京烤鴨吃起來感覺軟軟
而且裡面有愛情故事 而且裡面會有愛情故事
他也來了 他也來
然後我就跟他交男女朋友 然後我就跟他交男朋友
然後到了我的生日 然後到我的生日
一個年輕的大學生 一個人年輕的大學生
我現在學到好多的東西 我現在學到好多個的東西
才知道只學中文不夠 才知道了只學中文不夠
這裡不但有玩兒的地方 不但有玩兒的地方
而且我喜歡的女孩子終於給我電話號碼 而且我喜歡的女孩子終於給我電話
害怕昆蟲類 昆蟲類
找到了這本書 找到這本書
希望可以像他們平平安安地過快樂的幸福生活 希望可以像他們平平安安地過快樂的幸福
但在某某地方還有一些平民知道珍惜天然 但在某某的地方還有一些平民知道珍惜天然
然後拿這些去賣 然後拿這些去買賣
我安排在這家店吃早飯 我安排我們在這家店吃早飯
就問人這家店在哪裡 就問有人這家店在哪裡
在這裡有很多好吃的東西 然後在這裡有很多好吃的東西
我們先去動物園 然後我們先去動物園
看起來很奇怪的人 看起來奇怪的人
但是心裡還存在他的精神和鬥志 但心裡還存在他的精神和鬥志
包括水電費 包括水電費了
我打算租到我要回國的時候 我打算租它到我要回國的時候
所以為了幫助學生的學習 所以為了幫助學生的學習辦法
學生變得不喜歡上課了 學生不喜歡上課了
我覺得每個人大概都會受到別人的幫助 我覺得每個人大概受到別人的幫助
他幫我不少忙 他幫我真不少忙
幫我選運動衣與鞋子 幫我選運動衣服與鞋子
每個人在他的生活中都會碰到這樣的人 每個人在他的生活中會碰到這樣的人
我知道你們要來台灣 我知道你們來台灣
雖然服務沒有大飯館那麼好 雖然服務沒有大飯館那麼
你們可以看到小吃攤 你們處可以看到小吃攤
因為現在是秋天 是因為現在是秋天
星期一到五我還要上課 星期一到五是我還要上課
準時七點整開始 準時七點整
從飯店的陽台就可看到一整片藍色的天空與好幾座山 從飯店的陽台就看到一整片藍色的天空與好幾座山
我是剛剛參加你的生日會的人 我剛剛參加你的生日會的人
所以這本書對我來說很有興趣 所以這本書對我很有興趣
大眼睛 大的眼睛
就變得很高興 就變很高興
很多人是年紀還小的時候就看了這部電影 很多人是年紀還小的時候就第一次看了這部電影
我們在一起的時間怎麼不可以更多 我們在一起的時間怎麼可以更多
我希望這幾天我就給你介紹她 我希望這幾天我就介紹她給你
你也快來看我 也快來看我
在她家時 在她家的時
跟朋友們住在一起 因為跟朋友們住在一起
我以為加拿大的東西便宜 我先以為加拿大的東西便宜
他花用很多錢 他用很多錢
還讓你多了解一點 還讓你多了解
然後他們建立了民主政府 然後他們建立民主政府
我跟海豚一起拍照 我有跟海豚一起拍照
我也要給你我買的禮物 我也要給你我買了的禮物
我們也沒忘記去台北一零一 然後我們也沒忘記去台北一零一
還有去了花蓮的海洋公園 還有去了在花蓮的海洋公園
可是下次睡覺的時候 可是我下次睡覺的時候
我們不想回來呢 我們不想回來了呢
而且一個人都不認識 而且那一個人都不認識
然後找到了一個人是她 然後找到了人是她
跟她說起話來就覺得她很好的人 跟她說起來就覺得她很好的人
拿到了她的電話號碼就打給她 拿到了她的電話號碼就打她
在我的日常生活中 在我日常生活中
哪個時候對你來說方便呢 哪個時候對你方便呢
讓她當做一個政府高官的女友 讓她當做一個政府高官的女友了
如果你不改變這些不好的生活習慣 如果你不改變這些你的不好的生活習慣
我希望你不好的生活習慣會變成好的 我希望你的不好的生活習慣會變成好的
請你吃飯以後把桌子上弄乾淨 請你吃飯的以後把桌子上弄乾淨
那時剛好有一位姓阮的人 那時剛好有一位姓阮
那時我不知道該如何解決這個問題 那時我不知道該如何解決問題
所以您帶一件夾克就沒有問題了吧 所以您帶一件夾克就沒有問題吧
而且我也對心理學有興趣 而且我也對心理學有很多興趣
所以他們的考試還不算是真正的考試 所以他們有的考試還不算是真正的考試
請您帶我訂的中文參考書來 請您帶我訂的中文參考書
所以她日子過得非常辛苦 所以她過日子過得非常辛苦
她每天不但早起上班賺錢 她每天不但早起床上班賺錢
接著每個人快快去游泳 每個人快快去游泳
每天下課以後要回家自己做飯或買便宜卻對身體不好的菜 有的也每天下課以後要回家自己做飯或買便宜卻對身體不好的菜
我小學中學時 我小中學時
直到現在她還是沒改變 直到現在她還沒改變
有別的人來笑我們 有別人來笑我們
都沒穿衣服很奇怪 沒穿衣服很奇怪
老師比較重視寫文章 老師比較重視寫文
老師教的時候 老師教的時
如果老師多給我們說的機會的話 如果老師多給我們說的機會話
從這時起我們約會 從這起我們約會
上個月去ＳＯＧＯ百貨公司那邊 上個月去過ＳＯＧＯ百貨公司那邊
我們發生了一個意外 我們發生一個意外
是因為我們都是不同的國家的人 是因為我們都是不同的國家人
因為那邊的路不是人可以走的 因為那邊的路不是人可以走路的
回來又花了十個小時 回來花了十個小時
不可以拒絕要工作的人 可以拒絕要工作的人
可是老闆說因為我的皮膚不是白的 可是老闆說因為我的皮膚不是白
看起來像中國人 看起來是像中國人
不像台灣有這麼多人 不是像台灣有這麼多人
我們站在ＧｒａｎｄＣａｎｙｏｎ的南邊向北方看 我們站著在ＧｒａｎｄＣａｎｙｏｎ的南邊向北方看
我難過地掉下眼淚 我掉下眼淚
我也不知道我什麼時候能跟母親會面 我也不知道我什麼時候跟母親會面
「新光三越」 「新三越」
現在我母親不在人世 現在我母親不在
我買了很多禮物要送給別人 我買了很多禮物送給別人
因為那時候我也在空中 因為那時候我也在空中上
我這一次是用了自助旅行方式去的 我這一次是用了自助旅行去的
學校考試之前或是中文能力考試之前 學校考試之前或是中文能力考試考之前
好吃的東西 吃的東西
美國沒有一個地方像士林夜市有那麼多人 美國沒有一個地方像士林夜市那麼多人
野餐 吃野餐
請準備好你們的肚子 請你準備好你們的肚子
不要帶長褲 不要帶長褲子
你想去哪裡就有公車可以帶你去哪裡 你想去哪裡就有一汽公車可以帶你去哪裡
台灣的一個好處是交通便利 台灣的一個好處是交通
是因為我小學老師介紹給我 是因為我小學老師給我介紹
是因為我要自己念 是因為我要自己念了
上課的時候見吧 上課的時候見面吧
我在韓國玩的事情都很有意思 我在韓國玩的事情都很有意思了
因為看了讓我覺得男女的感情不一定到最後他們的結果得在一起 因為看了讓我覺得男女的感情不一定最後他們的結果得在一起
還要另外繳一個保證金 還要另外一個保證金
因為我們在日本租房子的話 因為我們日本租房子的話
可是公車沒有台灣那麼地方便 可是公車沒有台灣那麼方便
不管你做什麼事情千萬不可失去了鬥志 不管你做什麼事情不可失去了鬥志
你一定喜歡 你一定喜歡了
這就得從為什麼這個夢很特別說起 這就從為什麼這個夢很特別說起
如果你能教我做衣服的話 如果你可能教我做衣服的話
我最欣賞的一個人是我先生朋友的太太 我最欣賞的一個人是我先朋友的太太
沒想到學校這次帶給我們這麼大的鼓勵 沒想到學校這次帶給我們來這麼大的鼓勵
給了大家很大的信心 給了大家有很大的信心
那位教授的大名是李大明 那位教授的貴姓大名是李大明
比如說我可以知道怎麼申請台灣大學 如說我可以知道怎麼申請台灣大學
我也沒想到我們校長對外國學生這麼好 我也沒想到我們校長對外國學生卻這麼好
然後在中午的時候我們會準備午餐 然後在中午的時候我們準備午餐
然後在我們做訪問的文獻中 然後在我們做訪問的文獻
不過我希望我們會變成好朋友 不過我希望我們會變成好朋友們
我寄給你幾張照片＂欣賞＂一下 我寄給你幾張照片你＂欣賞＂一下
我幫媽媽跟爸爸工作 我幫媽媽跟爸爸的工作
全部的故事都很有趣 全部的故事很有趣
我旁邊的人都知道我喜歡看書 我的旁邊的人都知道我喜歡看書
我很喜歡幫我的朋友 我很喜歡幫我的朋友了
可是我知道他很愛我的朋友 可是我知道他很愛我的朋友了
跟她的家人也沒問題 也跟她的家人也沒問題
在五號出口等你 我在五號出口等你
所以就問她怎麼念得這麼好 所以就問她怎麼念這麼好
可以告訴我 可以回答告訴我
公車經過台北車站 公車都經過台北車站
我覺得他一定是好人 我覺得一定是好人
我跟她在一起的時候 我跟她一起的時候
革命成功時 革命成功
而且在有名的大學當老師聽起來很酷 而且在有名大學當老師聽起來很酷
隨著喜歡上我的課 隨著會喜歡上我的課
這樣他們就覺得沒有很大的壓力 這樣他們就覺得沒有很大壓力
他們看起來像放棄自己的人生 他們看起來放棄自己的人生
我也要了解他們的需要 我也得要了解他們的需要
離學校近的地方 從房子離學校近的地方
要有廚房 有廚房
我們聊天聊得一直不停 我們聊天得一直不停
那本書就從一五二七年說起了 那本書就從一五二七說起了
她大概會很高興 她大概會是很高興
替我申請好幾個獎學金 替我申請好幾獎學金
所以我上了不太好的學校 所以我上了我城市不太好的學校
他在這次活動表現得很優秀 他在這次活動的表現得很優秀
她真是好老師 她真是好的老師
也會請韓國學校來我們學校交流的活動 也會韓國學校來我們學校交流的活動
讓我住得好舒服 會讓我住得好舒服
我們的房子算是不貴了 我們的房子算是不貴
我剛來台灣不久 我剛來台灣
有的很好但是比較貴 有的好但是比較貴
讓她休息 好讓她休息
因為她不管是什麼時候都會站在我這一邊 因為她不管是什麼時候都會站在我一邊
還有台灣從四月起就是台灣雨季 還有台灣從四月起就是台灣的雨季
我已經訂好位子 我已經訂位子
可是在室內冷氣開得很強 可是在室內開冷氣開得很強
因為我的朋友在廣州工作 因為我的朋友在廣州做工作
暑假跟朋友們一起去中國旅行 經過暑假跟朋友們一起去中國旅行
而且更嚴重的話也許要住院 而且更嚴重的話也許住院
同學們都笑我 同學們都笑著我
不過這幾天你的生活 不過這幾天的你的生活
你都會這樣子 你都會做這樣子
抽一點時間跟家人去旅行 抽了一點時間跟家人去旅行
他從那個迎新的時候一直在我的身邊 他那個迎新的時候一直在我的身邊
但是因為我到現在還在唸大學所以沒有經濟能力 但是因為我到現在還在大學所以沒有經濟能力
他們覺得這樣才能幫我快點成熟 他們覺得這樣才能幫我快成熟
在心中 在心中裡
他很多不一樣的地方 很多不一樣的地方
他也對我很客氣 也對我很客氣
因為我現在才十七歲 因為我心現在才十七歲
所以學校請台灣最有名的足球員 所以學校請台灣的最有名的足球員
他常常去幫助生病的小朋友 他常常去幫助病的小朋友
他對交往的想法與態度跟台灣人很像 他的對交往的想法與態度跟台灣人很像
然後坐捷運到我家 然後坐上捷運到我家
你才會知道更多我安排的活動 你才知道更多我安排的活動
所以我要陪你去台北有名的地方 所以我要陪你台北有名的地方
你一看就知道是我 你一看就知道就是我
我很高興我們最近約好了一起見面 我很高興我們最近約好了跟一起見面
我們能坐捷運到大部分的台北的著名的地方 我們能坐捷運跑到大部分的台北的著名的地方
週末是最合適的時間見面 週末最合適的時間見面
你甚麼時候有空可以跟我一起玩呢 你什甚麼時候有空可以跟我一起玩呢
就算我有事也一定會去 就算我有事也一定去
我希望你的生日很快樂 我希望你過的生日很快樂
大家都快快樂樂地慶祝你的生日 大家都很快快樂樂地慶祝你的生日
其實我寫信的目的是關於你的朋友 其實我寫信的目的關於你的朋友
所以你不會在師大認識他 所以你不會在師大認識到他
也許你比我所想的厲害得多 也許你比我所想的厲害多
雖然我平常不算是個害羞的人 雖然我平常不算是個害羞的一種人
謝謝你的支持 謝謝你所謂的支持
自從你住在別的城市以來 從你住在別的城市以來
早上的時候完全不快樂 早上的時候可惜完全不快樂
我的頭痛 我的頭痛了
他問我 他問了我
所以我很自由 我很自由
德國北部人的個性不一樣 德國北部人的個性也不一樣
然後她還說她下個月會在桃園體育館開演唱會 然後她還說她下個月會在桃園體育館開了演唱會
因為學校有跟借教室有關的規定 因為學校有跟借教室有關係的規定
雖然那天天氣熱到三十九度 雖然那天天氣很熱到三十九度
她還說要是有誰買了或有她的ＣＤ 她還說要是有誰買或有她的ＣＤ
她自我介紹了以後開始唱歌 她自我介紹了以後開始唱歌了
我以前只在電視上看到她 我以前只是會在電視上看到她
現在我跟她沒說過話 現在我跟她沒說過
最好的表演是唱一首中文歌 最好的表演是唱一首中文歌的表演
除了富裕家庭的小孩子以外 除了富裕的家庭的小孩子以外
而且我並沒有帶信用卡 而且我沒有帶信用卡
應該我跟她說話 應該我跟她說話了
她說話的樣子 說話的樣子
那天的那位小姐的態度是讓我不開心的 那天的那位小姐的態度讓我不開心的
當然我知道每個學生有每個人特色 當然我知道每個學生有每個特色
但是大部分我回家以後或睡覺以後全都忘掉 但是大部分我回家以後或睡覺以後都忘掉
可是說實在的 可是說實在
越來越喜歡上她了 越來越喜歡上
我們當學生的角度在學習方面 我們當學生的角度在於學習方面
我們得開始準備了 我們得開始準備
可是她離我的座位很遠 可是她離我座位很遠
我們也可以討論包括關於中國文化或新年的表演 我們也可以包括關於中國文化或新年的表演
他們已經跟我說過 他們已經跟我說
那個生日會完以後我想找她 那個生日會完以後我找她
然後再一起坐淡水線去淡水吧 然後一起坐淡水線去淡水吧
所以一個人去的話應該很無聊 所以一個人去的話應該無聊
先走路去淡江高中 先走路去淡江高中學校
我不但開心得不得了 我不但很開心得不得了
因為我想趕快跟你見面 是因為我想趕快跟你見面
還有見面的地方是捷運台北車站淡水線淡水方向月台前 還有見面的地方是捷運台北車站淡水線淡水方向月台最前
我沒辦法選一個 我沒辦選一個
然後坐公車去漁人碼頭 然後去坐公車去漁人碼頭
最重要的是 最重要是
我想要更努力改變自己的情況 我想要更努力自己的情況
要是你有時間的時候 要是你有時間的時
我們可以回去忠孝復興站 我們就可以回去忠孝復興站
因為那裡有一家ＫＴＶ叫錢櫃 因為那裡有一ＫＴＶ叫錢櫃
很可愛的那種 可愛的那種
然後就請「楊丞琳」演唱耶 然後就請「楊丞琳」唱耶
你在美國過得怎麼樣啊 你在美國怎麼樣啊
最後她把全部的實話告訴他們 最後她向大家把全部的實話告訴他們
不過在這部電影裡她說的謊都是讓大家幸福的 不過在這部電影裡她說的謊都讓大家幸福的
這部電影能讓觀眾想想什麼東西很重要 這部電影讓觀眾想想什麼東西很重要
這部電影是大概是２０年前製作的電影 這部電影是大概２０年前製作的電影
女主角經過了他們的互相交流 女主角經過他們的互相交流
她在醫院的床上一直向他表白她的愛心 她在醫院的床上一直向他表白她愛心
若是您有時間的話 若是您有時間話
我沒有一點點看不起 我一點點看不起
跟你想得一樣 跟你想一樣
就是在我朋友的桌子旁 就是在我朋友的桌子
歌唱賽開始了 歌賽開始了
跳舞跳得累死了 跳舞得累死了
我一看到她站上舞台 我一看到她上舞台
其他房間比較大 房間比較大
比如說要是住的房子離學校很遠 比如說要是的住的房子離學校很遠
告訴你我最近怎麼樣 告訴你我最近怎麼樣的
希望你全部都很好 希望你在全部都很好
特別想念媽媽做的菜 特別媽媽做的菜
早一點出來吧 早一點就出來吧
從日本回來已經四天了 從日本回來已經四天
希望你在英國一切也都好 希望你在英國一切也好
如果我一個禮拜以內還沒收到好消息 如果我一個禮拜以內還沒收到好的消息
可是沒找幾分鐘 可是沒找了幾分鐘
有時候我有困難的時候他也會幫助我給我鼓勵 有時候我困難的時候他也會幫助我給我鼓勵
突然我的另外一位朋友打電話給我說「我在西門町」 突然我的另外朋友打電話給我說「我在西門町」
大家都是我很喜歡的人 大家是我很喜歡的人
我自己進書店 我自己進過書店
這一本書就是「十二把椅子」 一本書就是「十二把椅子」
所以現在沒有人知道這些椅子在哪裡了 所以現在沒有人知道這些椅子在哪了
雖然我還沒念過這本書 雖然我還沒念這本書
這本書的內容是一個很有趣的故事 這本書內容是一個很有趣的故事
所以他們把很多鑽石放在一個椅子裡 所以他們把很多鑽石放在一個椅子
而每次借用朋友們來跟他見面 而每次用朋友們來跟他見面
他馬上把車門開了叫我上車 他馬上把車門開了叫我上
如果以後我的貓生小貓 如果以後我貓生小貓
這裡的天氣有春夏秋冬四季 這裡的天氣有春夏秋冬等四季
但是常常下雨 常常下雨
故宮博物院等等 故宮博物院等等什麼的
計程車費也很便宜 計程車的運費也很便宜
我想帶你們看很多東西 我想你們看很多東西
在台北有很多有名的地方 在台北裡有很多有名的地方
所以看什麼東西一定都讓你們覺得很新鮮 所以看什麼東西一定讓你們覺得很新鮮
我覺得唱中文歌的好處不少 我覺得唱中文歌的好處是不少
全世界是爸爸媽媽幫我最多 全世界上是爸爸媽媽幫我最多
我媽媽也幫我發現我喜歡參加的活動 我媽媽也是幫我發現我喜歡參加的活動
改天搭船去綠島 改天搭船去綠島了
我還有跟他們聯絡 我還跟他們聯絡
她常常去玩 常常去玩
我還記得那是我第一次跟人家告白 我還記得那是我第一次跟人家告白的
我一直喜歡他 一直喜歡他
文化大革命的監獄經驗 文化革命的監獄經驗
就去書店預約了 就去了書店預約了
雖然他們兩個人的時間這麼快就過去而結束了 雖然他們兩個人的時間這麼快過去而結束了
那個人適應那裡環境一定很辛苦 那個人適應那裡一定很辛苦
所以我想了半天才決定寫信給你 所以我想了半天才決定了寫信給你
那我會一輩子跟他在一起 那我會一輩子跟他一起
我也想跟像他一樣的男生談戀愛 我也想跟他一樣的男生談戀愛
對社會是不可或缺的 對社會不可或缺的
我要告訴你我剛交了新的女朋友 我要告訴你我剛交了的女朋友
因為她哭了 因為她哭
幸虧有一天 幸虧了有一天
從那天起我們每天見面 從那天我們每天見面
我開始覺得很鬱悶 我覺得很鬱悶
因為她常常說客客氣氣的話 因為她常常說客客氣氣
我跟他在一起的感覺很舒服 我跟他在一起的感覺是很舒服
所以她每天睡覺睡得很早 所以她每天睡覺很早
全都是為我好 全都為我好
我家是在中山站附近 我家是中山站附近
你從小時候就住在台北 你從小時候住在台北
對你家附近還不熟 你家附近還不熟
我帶你一起觀光吧 每天我帶你一起觀光吧
我沒想到能在台北跟你見面 我沒想到在台北跟你見面
休閒的衣服 休閒衣服
你放心我安排的節目一定讓你高興 你放心我安排的節目是一定讓你高興
中國菜跟日本菜比起來會比較鹹也比較油膩 中國菜跟日本菜比起來比較鹹也比較油膩
希望你最近一切都很好 希望你很最近一切都很好
他燒了他的錢和他的車以後就走了 他燒他的錢和他的車以後就走了
我給你寫這封信 我給你死寫這封信
開始一起跳舞 開始一起跳
她帶我去西班牙的很多地方玩一玩 她帶我去西班牙的很多地方去玩一玩
我們一直哭 我們一直哭了
大概會怕得說不出話 大概怕得說不出話
藍色的牛仔褲 藍的牛仔褲
我們去棒球場看棒球比賽 我們就會去棒球場看棒球比賽
我們在台北一零一大樓上咖啡廳見面 我們在台北一零一大樓上見面
穿白色的襯衫 白色的襯衫
但是我覺得那本跟別的不一樣 但是我覺得那本跟別的本不一樣
所以我念了很多那個題目的書 所以我念很多那個題目的書
會長介紹的那本書 會長介紹那本書
因此我們都參加了大學的紅酒會 因此我們都參加大學的紅酒會
一起有越來越多的興趣 一起有越來越多興趣
我最喜歡的書是關於紅酒的書 我最喜歡的書是關於紅酒
這些都是對學生很好的幫助和機會 這些事都是對學生很好的幫助和機會
我上課不太了解的時候常去找他問幾個問題 我在上課不太了解的時候常去找他問幾個問題
因為你要來台北 因為你要來到台北
對我們的中文會有很多的幫助 對我們的中文會很多的幫助
我們剛剛決定新年晚會的時候要做甚麼 我們剛剛決定新年晚會的時候做甚麼
到了你要死的當天我會來接你的 到了你要死的當天我會接你的
假如你一個夢夢到了三次 假如你把一個夢夢到了三次
第二部份是練習的 第二個部份是練習的
這是我這一輩子夢到最特別的夢 這是我這一輩子夢到的最特別的夢
就當場吐出來了 就當場吐出來
聽君一席話勝於讀一萬卷書 聽君一席話勝於讀一萬書
但是法國臭乳酪我的確沒辦法接受 法國臭乳酪我的確沒辦法接受
送了很多禮物給他 送很多禮物給他
從上面到教堂前面 從上面教堂前面
俗話說得對 俗話說對
還給我留學的機會 給我留學的機會
他們付了很多錢 他們付很多錢
我對他們感謝又更多了 我對他們感謝更多了
還有他們常常寄東西給我 還有他們常常寄東西
還有交了很多國家的朋友 還有交很多國家的朋友
給我最喜歡喝的巧克力牛奶的是我母親 給我最喜歡喝的巧克力牛奶是我母親
念書成績不怎麼好 念書的成績不怎麼好
中文學習多麼進步了 中文學習多麼多進步了
我不敢告訴她什麼事 我不敢告訴她什麼
我常常去我家附近的餐廳買包子和蛋花湯 我常常去我家附近的餐廳買包子和蛋花湯吃飯
我也希望國語中心可以幫我們 我也希望國語中心也可以幫我們
練習的時候老師也在 在練習的時候老師也在
我希望老師可以幫我們練習 我希望老可以幫我們練習
就是我跟父親住在一起的情形 是我跟父親住在一起的情形
私自進來我的房間找東西 進來我的房間找東西
不理她就馬上離開了 不理她馬上離開了
用得最恰當之時 用得最恰當之時機
不管了 不管
我覺得那是一個有一點奇怪的國家 我覺得那家是一個有一點奇怪的國家
要麻煩您們 麻煩您們
因為在這裡吃飯比台灣貴 因為在這裡吃飯比台灣很貴
因為有一次我不知道在那裡的時候他們幫我 因為有一次我不知道在那裡的時候他們有幫我
因為我會在上課時比賽 因為我會在上課時間比賽
這樣他們就不會在上課時睡著 這樣他們就不會在上課時間睡著
一定會快樂地結束吧 一定快樂地結束吧
而且我自己也聽著隨身聽 而且我自己也聽隨身聽
賺夠錢可以讓她到處旅遊 賺錢可以讓她到處旅遊
那個時候我真的不知道要問誰 那個時候我真的知道要問誰
現在學中文的事也是受到我先生的幫助 現在學中文的事情也是受到我先生的幫助
有那麼大的房子也有好處 有那麼大的房子有好處
大家都一起 大家一起
所以不得不找室友來合租 不得不找室友來合租
因為我覺得她是可靠的人所以我可以很放心告訴她我的事情 因為我覺得她是可以可靠的人所以我可以很放心告訴她我的事情
在我的夢裡 在我的夢
他對日本很有研究 他對日本很有研
我的中文也進步很多 我的中文也進步得很多
剛來台灣的時候 剛來台灣時候
真有意思 真有意思了
你很喜歡泡溫泉 你很喜歡溫泉
而且我坐的飛機是韓國的大韓航空 而且我坐的飛機是韓國的大韓航空的
啊啊我在韓國很好玩 啊啊我在韓國很好玩了
有名的店 有名的店的話
真受不了 真受不了了
我還有很多事情要對你說 我還有很多事情要對你說話
韓國都很好 韓國都是很好
也要繼續努力 也繼續努力
因為那天是我們第一次見面 因為那天是我們第一次的見面
緊張得一連三夜都睡不著 緊張得一連三夜睡不著
讓我想知道你與你家人的消息 讓我想知道你與家人的消息
我在鄉下路上開車時看到一個女孩在走路 我在鄉下路上開車時看到一個女孩走路
這是一部由「驚奇漫畫」公司所改編而成的美國超人系列電影 這是一部由「驚奇漫畫」公司所改編而成的一部美國超人系列電影
接下來面對社會的故事 接下來面對的社會的故事
這部片是描述一位名叫湯尼史塔克的男主角 這部片是描述名叫湯尼史塔克的男主角
他用簡訊通知我他已經收到居留證了 他簡訊通知我他已經收到居留證了
我寫信給你是為了告訴你那天我們要去哪裡 我寫信給你為了告訴你那天我們要去哪裡
那兩家當中捷運站到新光書店比較近 那兩家當中離捷運站到新光書店比較近
就麻煩了 就會麻煩了
從新光書店到市政府捷運站只要走十分鐘 從新光書店到市政府捷運站只要走了十分鐘
我的老闆陪我去我們顧客家一起吃飯 我的老闆陪我去我們顧客一起吃飯
包括水電費 包括了水電費
我很高興住在好的地方 我很高興住好的地方
現在我住在一棟大樓裡 現在我住在一棟大樓
好像在空中的星星一樣 好像在空中的星星
他們都很熱心解釋給我聽 他們都很熱心解釋給我
許多車子的燈 車子的燈
我覺得很自在 我很自在
對有聽我的課的學生來說 對有在聽我的課的學生來說
我現在有男朋友了 我現在有男朋友
因為我什麼都不好就數學好 因為我什麼都不好就只數學好
現在我是大人了 現在我是大人
她都會讓我們買什麼 她會讓我們買什麼
累死了 很累死了
謝謝你請我去上次的生日會 謝謝你請我上次的生日會
她會很高興 她很高興
這樣她才不會有難過的感覺 這樣她不會有難過的感覺
我想帶你們去很多地方 我想你們去很多地方
如果妳還有想去的地方或想吃的東西的話 如果妳還有想去的地方想吃的東西的話
像女生一樣 像女生的一樣
但什麼花都比不上妳的美麗 但什麼花比不上妳的美麗
那邊的花還是滿漂亮的 那邊的花還是滿漂亮
跟我在討論的那本有關係 跟我問在討論的那本有關係
她對每個人都很好 她對每個人都很
為了我的未來 我為了我的未來
去淡水又方便又省時 去淡水又方便又省時了
而且颱風一來就颳大風 而且颱風一來了就颳大風
請多帶幾件衣服 請多多帶幾件衣服
下次你要到國外旅行的時候 下次你要到國外的時候
那你的學校呢 那你的學校
我們隔天先去墾丁 我們隔天去墾丁
第二天再去花蓮 第二天去花蓮
我們打算去三天兩夜 我們打算去三天兩夜的旅行
因為現在大家用電腦做事情 因為現在大家用電腦做他們的事情
我一定會教電腦課 我一定會教電腦的課
再加上有很多人來參加 再加上有很多人來參加了
我還可以學別的國家的生活習慣 還可以學別的國家的生活習慣
所以我覺得我不可以用以前老師的教法 所以我覺得我不可以用像以前老師的教法
因為我是年輕人 因為我還是年輕人
或許是故事內容中所有的花草樹木都有生命 或許是故事內容所有的花草樹木都有生命
可是週末非常熱鬧喔 可是尤其週末非常熱鬧喔
展現出不管是動植物都有機會表現出他們的想法以及看法的一面 展現出了不管是動植物都有機會表現出他們的想法以及看法的一面
你平常都沒做功課 你平常沒做功課
那時她也帶了一位好朋友去玩 那時她也帶一位好朋友去玩
所以我覺得做老師不太容易 所以我覺得做老師不太很容易
他是一位演「相聲」的演員 他是一位演「相聲」演員
他的話真的是很寶貴 他的話真的是寶貴
昨天他的節目內容是 昨天他的節目是
然後在一起 然後會在一起
看著電影哈哈大笑地度過一兩個小時的快樂時光 看電影哈哈大笑地度過一兩個小時的快樂時光
其實我們也寫過很多次想像見面那天的心情 其實我們也寫過很多次見面那天的心情
再漫步走回捷運站接著送你回家 再漫步走回捷運站送你回家
現在想起來 現在想起
如何趕走冰雪女王 如何趕走了冰雪女王
我以前有告訴過你 我以前有告訴你
他不僅反映出兄弟姐妹最真實的一面 他不僅反映出了兄弟姐妹最真實的一面
潛水能看到各式各樣的彩色小魚 下潛水能看到各式各樣的彩色小魚
剛好一位是在一家旅行社裡面上班 剛好一位是在一家旅行社裡面上班的
到了晚上可以讓你們好好休息 到了晚上讓你們好好休息
是在臺灣滿有名的地方 在臺灣滿有名的地方
免得你們第一天就累死了 免得可把你們第一天就累死了
按我的計畫你們有什麼意見 按照我的計畫你們有什麼意見
所以不必帶太厚的衣服 所以不必太厚的衣服
我才能安排 我才能安排好
所以您們要準備夏天的衣服 所以您們準備夏天的衣服
您們來台灣的時候去什麼地方觀光比較好 您們來台灣的時候去什麼地方比較好
這裡面有很久又很重要東西 這裡面有很久很重要東西
最理想的是生活中可以享受跟鄉下一樣的大自然 最理想是生活中可以享受跟鄉下一樣的大自然
我的負擔減輕了 我的負擔減輕多了
可是變得不戴眼鏡也看得清楚 可是變得不戴眼鏡看得清楚
我朋友先來台灣 我朋先來台灣
可是六點多演講廳都坐滿人了 可是六點多演講廳都滿人了
可是比那本有意思多了 可是比那本本有意思多了
這本書的內容也提供了不少的資訊 這本書的內容也提供不少的資訊
就會想到媽媽在我孩提時講的事情 就會想到媽媽在我孩提講的事情
正好我在找房間 正好我找房間
我已經住在這間房間八個月了 我已經住這間房間八個月了
我一生病 我我一生病
她也哭著哭著就生病了 她也哭著哭著就生病
他們邊參觀邊做筆記 他們在邊參觀邊做筆記
重要的是看你 重要的是看你的
然後我們可以在附近逛街 然後我們可以在那裡附近逛街
緊緊地抱住我 緊緊地抱我
白色的褲子和黑的運動鞋 白色的褲子和黑的運動鞋子
奶奶都叫我爺爺帶我去哪裡 奶奶叫我爺爺帶我去哪裡
也刷很多卡費 也刷很多卡
如果那時妳還想逛街 如果到那時妳還想逛街
如果你要知道有什麼好玩兒的 如果你要知道有什麼好玩兒
他常常這樣 他常常是這樣
我問她這本書有什麼好玩兒的 我問她這本書有什麼好玩兒
而且讓他們了解英國人或美國人的口音間差別 而且讓他們了解英國人或美國人的口音差別
可是沒辦法找到錢包 可是沒辦法找得到錢包
跟家人一起去韓國玩了 我跟家人一起去韓國玩了
在飛機上我很興奮 在飛機上我很興奮了
